Solar Radiation Inconsistencies Log File, CCWorldweatherGen, V.1.9 for Site: Porto Alegre-Filho Intl AP, BRA
This file lists all hours where the global horizontal raditation of the original EPW file is equal to or exceeds the calculated extraterrestrial horizontal radiation. Where this frequently occurs at a significant level,
i.e. the extraterrestrial radiation is 0 and the global horiziontal radiation exceeds 10 Wh/m2 this may indicate that the EPW file follows the solar time convention instead of the commonly used local standard time convention.

Month,Day,Hour,ExHoRad(calc),GlHoRad(EPW)
1,4,6,29,42
1,5,6,28,40
1,6,6,26,39
1,7,6,25,37
1,9,6,22,34
1,11,6,19,30
1,13,6,16,19
1,15,6,14,26
1,17,6,11,23
1,18,6,10,12
1,19,6,9,9
1,20,6,8,19
1,21,6,7,18
1,22,6,6,17
1,23,6,5,10
1,24,6,4,14
1,25,6,4,13
1,26,6,3,5
1,27,6,2,11
1,28,6,2,10
1,29,6,1,6
1,30,6,1,8
1,31,6,1,3
2,1,6,0,7
2,1,7,168,170
2,2,6,0,7
2,2,7,164,167
2,3,6,0,6
2,4,6,0,5
2,4,7,155,161
2,5,6,0,5
2,5,7,151,158
2,6,6,0,4
2,7,6,0,3
2,8,6,0,1
2,9,6,0,2
2,10,6,0,2
2,10,7,131,140
2,11,6,0,2
2,11,7,127,140
2,12,6,0,1
2,12,7,123,137
2,13,6,0,1
2,19,7,99,117
2,20,7,96,114
2,22,7,90,108
2,27,7,76,86
3,2,7,68,86
3,3,7,66,83
3,4,7,64,73
3,6,7,59,77
3,10,7,51,69
3,12,7,47,61
3,13,7,45,63
3,14,7,44,61
3,15,7,42,59
3,16,7,40,58
3,18,7,37,54
3,20,7,34,51
3,21,7,32,49
3,22,7,31,48
3,23,7,30,46
3,24,7,28,44
3,25,7,27,36
3,26,7,26,42
3,28,7,23,39
3,29,7,22,38
3,30,7,21,21
3,31,7,20,20
4,2,7,18,20
4,3,7,16,34
4,4,7,16,19
4,5,7,15,32
4,6,7,14,30
4,7,7,13,28
4,8,7,12,28
4,8,8,234,234
4,9,7,11,27
4,10,7,10,14
4,11,7,9,22
4,12,7,9,23
4,12,8,220,221
4,13,7,8,21
4,14,7,7,21
4,14,8,214,217
4,15,7,7,20
4,15,8,210,214
4,16,7,6,19
4,17,7,5,18
4,17,8,203,208
4,18,7,5,10
4,19,7,4,14
4,19,8,197,201
4,20,7,4,15
4,20,8,193,200
4,21,7,3,14
4,21,8,190,195
4,22,7,3,13
4,23,7,2,6
4,24,7,2,12
4,24,8,180,188
4,25,7,2,5
4,26,7,1,5
4,27,7,1,4
4,28,7,1,5
4,29,7,1,8
4,29,8,163,174
4,30,7,0,7
4,30,8,159,161
5,1,7,0,6
5,2,7,0,5
5,3,7,0,4
5,4,7,0,2
5,5,7,0,2
5,6,7,0,3
5,7,7,0,2
5,8,7,0,3
5,9,7,0,1
5,10,7,0,2
5,11,7,0,2
5,12,7,0,1
5,13,7,0,1
5,14,7,0,1
5,15,7,0,1
5,15,8,111,112
5,19,7,0,1
5,19,8,100,102
5,20,7,0,1
5,20,8,98,112
5,21,7,0,2
5,24,8,88,92
5,26,8,83,88
5,27,8,81,86
6,1,8,71,95
6,2,8,70,77
